RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  254  263     0     0  con    0  1.0D+00  1.1D+00  7.445D+00 -2.903D+02
  255  264     0     0  con    0  1.0D+00  1.7D+00  4.388D+00 -2.935D+02
  256  265     0     0  con    0  1.0D+00  2.2D+00  9.034D+00 -2.956D+02
  257  266     0     0  con    0  1.0D+00  4.9D-01  1.712D+00 -2.983D+02
  258  267     0     0  con    0  1.0D+00  2.6D-01  2.704D+00 -2.999D+02
  259  268     0     0  con    0  1.0D+00  1.0D+00  4.406D+00 -3.025D+02
  260  270     0     0  con    1  5.1D-01  8.7D-01  7.651D+00 -3.040D+02
  261  271     0     0  con    0  1.0D+00  1.1D+00  2.227D+00 -3.061D+02
  262  272     0     0  con    0  1.0D+00  8.3D-01  1.055D+00 -3.076D+02
  263  273     0     0  con    0  1.0D+00  9.2D-01  4.108D+00 -3.090D+02
  264  274     0     0  con    0  1.0D+00  8.2D-01  2.020D+00 -3.103D+02
  265  275     0     0  con    0  1.0D+00  2.3D-01  1.883D+00 -3.115D+02
  266  276     0     0  con    0  1.0D+00  7.6D-01  7.528D+00 -3.130D+02
  267  277     0     0  con    0  1.0D+00  3.3D-01  3.487D+00 -3.143D+02
  268  278     0     0  con    0  1.0D+00  2.9D-01  3.822D+00 -3.153D+02
  269  279     0     0  con    0  1.0D+00  1.7D+00  6.780D+00 -3.177D+02
  270  281     0     0  con    1  4.8D-01  8.2D-01  4.053D+00 -3.188D+02
  271  282     0     0  con    0  1.0D+00  3.5D-01  2.366D+00 -3.196D+02
  272  283     0     0  con    0  1.0D+00  1.2D+00  2.763D+00 -3.212D+02
  273  284     0     0  con    0  1.0D+00  7.2D-01  4.221D+00 -3.219D+02
  274  285     0     0  con    0  1.0D+00  3.2D-01  2.835D+00 -3.227D+02
  275  286     0     0  con    0  1.0D+00  1.9D+00  4.407D+00 -3.261D+02
  276  287     0     0  con    0  1.0D+00  1.0D+00  1.437D+01 -3.266D+02
  277  288     0     0  con    0  1.0D+00  2.8D-01  4.313D+00 -3.284D+02
  278  289     0     0  con    0  1.0D+00  1.2D-01  1.455D+00 -3.296D+02
  279  290     0     0  con    0  1.0D+00  4.1D-01  3.882D+00 -3.310D+02
  280  291     0     0  con    0  1.0D+00  6.5D-01  3.318D+00 -3.325D+02
  281  292     0     0  con    0  1.0D+00  1.4D+00  1.507D+01 -3.331D+02
  282  293     0     0  con    0  1.0D+00  4.5D-01  2.643D+00 -3.359D+02
  283  294     0     0  con    0  1.0D+00  3.1D-01  1.902D+00 -3.373D+02
  284  295     0     0  con    0  1.0D+00  1.0D+00  4.336D+00 -3.397D+02
  285  296     0     0  con    0  1.0D+00  1.5D+00  1.079D+01 -3.421D+02
  286  297     0     0  con    0  1.0D+00  1.8D+00  3.740D+00 -3.449D+02
  287  298     0     0  con    0  1.0D+00  4.6D-01  1.116D+00 -3.465D+02
  288  299     0     0  con    0  1.0D+00  7.9D-01  4.287D+00 -3.486D+02
  289  300     0     0  con    0  1.0D+00  1.3D+00  7.055D+00 -3.497D+02
  290  301     0     0  con    0  1.0D+00  1.6D-01  2.270D+00 -3.516D+02
  291  302     0     0  con    0  1.0D+00  7.6D-01  2.462D+00 -3.536D+02
  292  303     0     0  con    0  1.0D+00  7.7D-01  3.032D+00 -3.549D+02
  293  304     0     0  con    0  1.0D+00  2.4D+00  1.550D+01 -3.555D+02
